first_name,last_name,state,district,gender,population,num_uninsured,num_deaths,medicaid_expansion_state,swing_left_district,freedom_caucus_member,percent_vote_2016,percent_vote_clinton,percent_vote_trump,president_vote_margin,twitter_link,facebook_link,twitter_handle,phone_number,,Junior Senator Name,Senior Senator Name,Quotes on AHCA/Health Care (link out to page),Local stories (link out to page),Local groups (link out to page),Anecdotes (link out to page),,,
Steve,Chabot,OH,1,M,,35600,337.4407583,Y,N,N,,44.6,51.2,-6.6,https://twitter.com/RepSteveChabot,,RepSteveChabot,202-225-2216,,,,,,,,,,
Warren,Davidson,OH,8,M,,31800,301.4218009,Y,N,Y,,30.6,65.1,-34.5,https://twitter.com/warrendavidson,,warrendavidson,202-225-6205,,,,,,,,3991,306600,
Bob,Gibbs,OH,7,M,,30700,290.9952607,Y,N,N,,32.8,62.5,-29.7,https://twitter.com/RepBobGibbs,,RepBobGibbs,202-225-6265,,,,,,,,,,
Bill,Johnson,OH,6,M,,34400,326.0663507,Y,N,N,,26.7,69.3,-42.6,https://twitter.com/repbilljohnson,,repbilljohnson,202-225-5705,,,,,,,,5218,289000,
Jim,Jordan,OH,4,M,,31900,302.3696682,Y,N,Y,,30.7,64.3,-33.6,https://twitter.com/Jim_Jordan,,Jim_Jordan,202-225-2676,,,,,,,,,,
Bob,Latta,OH,5,M,,28700,272.0379147,Y,N,N,,34.6,59.7,-25.1,https://twitter.com/boblatta,,boblatta,202-225-6405,,,,,,,,3561,327300,
James,Renacci,OH,16,M,,23600,223.6966825,Y,N,N,,39.5,56.1,-16.6,https://twitter.com/RepJimRenacci,,RepJimRenacci,202-225-3876,,,,,,,,,,
Steve,Stivers,OH,15,M,,31800,301.4218009,Y,N,N,,39.9,55.3,-15.4,https://twitter.com/RepSteveStivers,,RepSteveStivers,202-225-2015,,,,,,,,,,
Pat,Tiberi,OH,12,M,,30000,284.3601896,Y,N,N,,41.9,53.2,-11.3,https://twitter.com/PatTiberi,,PatTiberi,202-225-5355,,,,,,,,,,
Brad,Wenstrup,OH,2,M,,34100,323.2227488,Y,N,N,,39.7,55.8,-16.1,https://twitter.com/RepBradWenstrup,,RepBradWenstrup,202-225-3164,,,,,,,,3991,247300,
Jim,Bridenstine,OK,1,M,,78600,745.0236967,N,N,Y,,32.7,61.4,-28.7,https://twitter.com/repjbridenstine?,,repjbridenstine,202-225-2211,,,,,,,,,,
Tom,Cole,OK,4,M,,72600,688.1516588,N,N,N,,28.3,65.7,-37.4,https://twitter.com/tomcoleok04,,tomcoleok04,202-225-6165,,,,,,,,,,
Frank,Lucas,OK,3,M,,69100,654.9763033,N,N,N,,20.9,73.6,-52.7,https://twitter.com/repfranklucas,,repfranklucas,202-225-5565,,,,,,,,,,
Markwayne,Mullin,OK,2,M,,83300,789.5734597,N,N,N,,22.8,72.9,-50.1,https://twitter.com/RepMullin,,RepMullin,202-225-2701,,,,,,,,,,
Steve,Russell,OK,5,M,,90800,860.6635071,N,N,N,,39.8,53.2,-13.4,https://twitter.com/RepRussell,,RepRussell,202-225-2132,,,,,,,,4056,320700,
Greg,Walden,OR,2,M,,67000,635.07109,Y,N,N,,36.4,56.5,-20.1,https://twitter.com/repgregwalden,,repgregwalden,202-225-6730,,,,,,,,,,
Lou,Barletta,PA,11,M,,40000,379.1469194,Y,N,N,,36.2,60.0,-23.8,https://twitter.com/RepLouBarletta,,RepLouBarletta,202-225-6511,,,,,,,,2679,302400,
Mike,Kelly,PA,3,M,,39700,376.3033175,Y,N,N,,35.0,61.1,-26.1,https://twitter.com/mikekellypa,,mikekellypa,202-225-5406,,,,,,,,,,
Tom,Marino,PA,10,M,,40100,380.0947867,Y,N,N,,30.2,66.1,-35.9,https://twitter.com/RepTomMarino,,RepTomMarino,202-225-3731,,,,,,,,,,
Tim,Murphy,PA,18,M,,35900,340.2843602,Y,N,N,,38.5,58.1,-19.6,https://twitter.com/RepTimMurphy,,RepTimMurphy,202-225-2301,,,,,,,,,,
Scott,Perry,PA,4,M,,41900,397.1563981,Y,N,Y,,37.1,58.6,-21.5,https://twitter.com/repscottperry,,repscottperry,202-225-5836,,,,,,,,,,
Keith,Rothfus,PA,12,M,,35800,339.3364929,Y,N,N,,37.9,58.7,-20.8,https://twitter.com/KeithRothfus,,KeithRothfus,202-225-2065,,,,,,,,3991,292600,
Bill,Shuster,PA,9,M,,40200,381.042654,Y,N,N,,27.2,69.7,-42.5,https://twitter.com/RepBillShuster,,RepBillShuster,202-225-2431,,,,,,,,4895,284400,
Lloyd,Smucker,PA,16,M,,45200,428.436019,Y,Y,N,,44.2,51.0,-6.8,https://twitter.com/repsmucker,https://www.facebook.com/RepSmucker/,repsmucker,202-225-2411,,,,,,,,,,
Glenn,Thompson,PA,5,M,,37200,352.6066351,Y,N,N,,33.5,62.3,-28.8,https://twitter.com/CongressmanGT,,CongressmanGT,202-225-5121,,,,,,,,,,
Jeff,Duncan,SC,3,M,,61400,581.9905213,N,N,Y,,29.0,67.0,-38.0,https://twitter.com/repjeffduncan,,repjeffduncan,202-225-5301,,,,,,,,,,
Trey,Gowdy,SC,4,M,,68200,646.4454976,N,N,N,,34.5,60.2,-25.7,https://twitter.com/TGowdySC,,TGowdySC,202-225-6030,,,,,,,,8944,273800,
Tom,Rice,SC,7,M,,78300,742.1800948,N,N,N,,39.1,58.0,-18.9,https://twitter.com/RepTomRice,,RepTomRice,202-225-9895,,,,,,,,,,
Mark,Sanford,SC,1,M,,60900,577.2511848,N,N,Y,,40.4,53.5,-13.1,https://twitter.com/RepSanfordSC,,RepSanfordSC,202-225-3176,,,,,,,,,,
Joe,Wilson,SC,2,M,,52400,496.6824645,N,N,N,,38.6,56.3,-17.7,https://twitter.com/RepJoeWilson,,RepJoeWilson,202-225-2452,,,,,,,,,,
Kristi,Noem,SD,1,F,,66100,626.5402844,N,N,N,,31.7,61.5,-29.8,https://twitter.com/RepKristiNoem,,RepKristiNoem,202-225-2801,,,,,,,,,,
Diane,Black,TN,6,F,,69500,658.7677725,N,N,N,,23.7,72.6,-48.9,https://twitter.com/RepDianeBlack,,RepDianeBlack,202-225-4231,,,,,,,,,,
Marsha,Blackburn,TN,7,F,,63000,597.1563981,N,N,N,,28.2,67.5,-39.3,https://twitter.com/MarshaBlackburn,,MarshaBlackburn,202-225-2811,,,,,,,,,,
Scott,DesJarlais,TN,4,M,,67300,637.9146919,N,N,Y,,27.4,68.6,-41.2,https://twitter.com/DesJarlais,,DesJarlais,202-225-6831,,,,,,,,3991,273000,
John J.,Duncan,TN,2,M,,64700,613.2701422,N,N,N,,29.7,65.1,-35.4,https://twitter.com/RepJohnDuncanJr?,,RepJohnDuncanJr,202-225-5435,,,,,,,,,,
Chuck,Fleischmann,TN,3,M,,68300,647.3933649,N,N,N,,30.2,65.4,-35.2,https://twitter.com/RepChuck?,,RepChuck,202-225-3271,,,,,,,,4088,299400,
David,Kustoff,TN,8,M,,59200,561.1374408,N,N,N,,30.7,66.3,-35.6,https://twitter.com/davidkustoff,,davidkustoff,202-225-4714,,,,,,,,4056,310900,
Phil,Roe,TN,1,M,,74600,707.1090047,N,N,N,,19.7,76.7,-57.0,https://twitter.com/DrPhilRoe,,DrPhilRoe,202-225-6356,,,,,,,,7700,275700,
Jodey,Arrington,TX,19,M,,57700,546.9194313,N,N,N,,23.5,72.5,-49,https://twitter.com/RepArrington,,RepArrington,202-225-4005,,,,,,,,,,
Brian,Babin,TX,36,M,,61600,583.8862559,N,N,Y,,25.2,72.0,-46.8,https://twitter.com/RepBrianBabin,,RepBrianBabin,202-225-1555,,,,,,,,,,
Joe,Barton,TX,6,M,,63500,601.8957346,N,N,Y,,41.9,54.2,-12.3,https://twitter.com/repjoebarton,,repjoebarton,202-225-2002,,,,,,,,3636,315300,
Kevin,Brady,TX,8,M,,58600,555.450237,N,N,N,,23.9,72.7,-48.8,https://twitter.com/RepKevinBrady,,RepKevinBrady,202-225-4901,,,,,,,,4895,291100,
Michael,Burgess,TX,26,M,,51300,486.2559242,N,N,N,,34.4,60.9,-26.5,https://twitter.com/michaelcburgess,,michaelcburgess,202-225-7772,,,,,,,,,,
John,Carter,TX,31,M,,48500,459.7156398,N,N,N,,40.8,53.5,-12.7,https://twitter.com/johnfcarter,,johnfcarter,202-225-3864,,,,,,,,4088,297600,
K. Michael,Conaway,TX,11,M,,56000,530.8056872,N,N,N,,19.1,77.8,-58.7,https://twitter.com/conawaytx11?,,conawaytx11,202-225-3605,,,,,,,,3636,280100,
John,Culberson,TX,7,M,,62800,595.2606635,N,Y,N,,48.5,47.1,1.4,https://twitter.com/congculberson,https://www.facebook.com/johnculberson,congculberson,202-225-2571,,,,,,,,3284,281100,
Blake,Farenthold,TX,27,M,,61100,579.1469194,N,N,N,,36.5,60.1,-23.6,https://twitter.com/farenthold,,farenthold,202-225-7742,,,,,,,,5218,298100,
Bill,Flores,TX,17,M,,58700,556.3981043,N,N,N,,38.8,56.3,-17.5,https://twitter.com/RepBillFlores,,RepBillFlores,202-225-6105,,,,,,,,,,
Louie,Gohmert,TX,1,M,,62600,593.3649289,N,N,Y,,25.3,72.2,-46.9,https://twitter.com/replouiegohmert,,replouiegohmert,202-225-3035,,,,,,,,,,
Kay,Granger,TX,12,F,,57900,548.8151659,N,N,N,,32.7,62.9,-30.2,https://twitter.com/RepKayGranger,,RepKayGranger,202-225-5071,,,,,,,,,,
Jeb,Hensarling,TX,5,M,,71000,672.985782,N,N,N,,34.3,62.7,-28.4,https://twitter.com/rephensarling,,rephensarling,202-225-3484,,,,,,,,,,
Sam,Johnson,TX,3,M,,48600,460.6635071,N,N,N,,40.6,54.8,-14.2,https://twitter.com/samjohnsontx03,,samjohnsontx03,202-225-4201,,,,,,,,,,
Kenny,Marchant,TX,24,M,,59800,566.8246445,N,N,N,,44.5,50.7,-6.2,https://twitter.com/RepKenMarchant,,RepKenMarchant,202-225-6605,,,,,,,,,,
Michael,McCaul,TX,10,M,,60200,570.6161137,N,N,N,,43.2,52.3,-9.1,https://twitter.com/RepMcCaul,,RepMcCaul,202-225-2401,,,,,,,,4056,304900,
Pete,Olson,TX,22,M,,52000,492.8909953,N,N,N,,44.2,52.1,-7.9,https://twitter.com/reppeteolson,,reppeteolson,202-225-5951,,,,,,,,4056,298800,
Ted,Poe,TX,2,M,,58500,554.5023697,N,N,N,,43.1,52.4,-9.3,https://twitter.com/JudgeTedPoe,,JudgeTedPoe,202-225-6565,,,,,,,,,,
John,Ratcliffe,TX,4,M,,60600,574.4075829,N,N,N,,21.8,75.4,-53.6,https://twitter.com/RepRatcliffe,,RepRatcliffe,202-225-6673,,,,,,,,3991,273700,
Pete,Sessions,TX,32,M,,65600,621.8009479,N,Y,N,,48.5,46.6,1.9,https://twitter.com/PeteSessions,https://www.facebook.com/petesessions/,PeteSessions,202-225-2231,,,,,,,,,,
Lamar,Smith,TX,21,M,,54000,511.8483412,N,N,N,,42.5,52.5,-10,https://twitter.com/LamarSmithTX21,,LamarSmithTX21,202-225-4236,,,,,,,,,,
Mac,Thornberry,TX,13,M,,54900,520.3791469,N,N,N,,16.9,79.9,-63,https://twitter.com/MacTXPress,,MacTXPress,202-225-3706,,,,,,,,,,
Randy,Weber,TX,14,M,,62400,591.4691943,N,N,Y,,38.4,58.2,-19.8,https://twitter.com/TexasStateRep29,,TexasStateRep29,202-225-2831,,,,,,,,4056,338400,
Roger,Williams,TX,25,M,,49200,466.3507109,N,N,N,,40.2,55.1,-14.9,https://twitter.com/RepRWilliams,,RepRWilliams,202-225-9896,,,,,,,,3284,274700,
Rob,Bishop,UT,1,M,,44600,422.7488152,N,N,N,,22.4,49.7,-27.3,https://twitter.com/reprobbishop,,reprobbishop,202-225-0453,,,,,,,,,,
Jason,Chaffetz,UT,3,M,,50200,475.8293839,N,N,N,,23.3,47.2,-23.9,https://twitter.com/jasoninthehouse,,jasoninthehouse,202-225-7751,,,,,,,,,,
Mia,Love,UT,4,F,,55300,524.1706161,N,Y,N,,32.4,39.1,-6.7,https://twitter.com/RepMiaLove,https://www.facebook.com/repmialove/,RepMiaLove,202-225-3011,,,,,,,,4088,328200,
Chris,Stewart,UT,2,M,,54900,520.3791469,N,N,N,,32.0,46.0,-14.0,https://twitter.com/RepChrisStewart,,RepChrisStewart,202-225-9730,,,,,,,,,,
Dave,Brat,VA,7,M,,49600,470.1421801,N,N,Y,,44.0,50.5,-6.5,https://twitter.com/RepDaveBrat,,RepDaveBrat,202-225-2815,,,,,,,,,,
Tom,Garrett,VA,5,M,,56900,539.3364929,N,N,Y,,42.3,53.4,-11.1,https://twitter.com/rep_tom_garrett,,rep_tom_garrett,202-225-4711,,,,,,,,,,
Robert,Goodlatte,VA,6,M,,55600,527.014218,N,N,N,,34.9,59.7,-24.8,https://twitter.com/RepGoodlatte,,RepGoodlatte,202-225-5431,,,,,,,,,,
Morgan,Griffith,VA,9,M,,61600,583.8862559,N,N,Y,,27.3,68.8,-41.5,https://twitter.com/RepMGriffith,,RepMGriffith,202-225-3861,,,,,,,,4088,285700,
Scott,Taylor,VA,2,M,,45400,430.3317536,N,Y,N,,45.4,48.8,-3.4,https://twitter.com/scotttaylorva,https://www.facebook.com/scotttaylorvirginia/,scotttaylorva,202-225-4215,,,,,,,,,,
Rob,Wittman,VA,1,M,,44600,422.7488152,N,N,N,,41.2,53.6,-12.4,https://twitter.com/RobWittman,,RobWittman,202-225-4261,,,,,,,,,,
Cathy,McMorris Rodgers,WA,5,F,,36200,343.1279621,Y,N,N,,39.1,52.2,-13.1,https://twitter.com/cathymcmorris,,cathymcmorris,202-225-2006,,,,,,,,,,
Sean P.,Duffy,WI,7,M,,56600,536.492891,N,N,N,,37.3,57.8,-20.5,https://twitter.com/repseanduffy,,repseanduffy,202-225-3365,,,,,,,,3991,293400,
Mike,Gallagher,WI,8,M,,50600,479.6208531,N,N,N,,38.6,56.2,-17.6,https://twitter.com/repgallagher,,repgallagher,202-225-5665,,,,,,,,3991,298300,
Glenn,Grothman,WI,6,M,,44200,418.957346,N,N,N,,38.8,55.7,-16.9,https://twitter.com/RepGrothman,,RepGrothman,202-225-2476,,,,,,,,,,
Paul,Ryan,WI,1,M,,48900,463.507109,N,N,N,,42.3,52.6,-10.3,https://twitter.com/SpeakerRyan,,SpeakerRyan,202-225-3031,,,,,,,,3991,303100,
Jim,Sensenbrenner,WI,5,M,,40700,385.7819905,N,N,N,,37.3,57.4,-20.1,https://twitter.com/rpsensenbrenner,,rpsensenbrenner,202-225-5101,,,,,,,,4088,284600,
Evan,Jenkins,WV,3,M,,43900,416.1137441,Y,N,N,,23.3,72.5,-49.2,https://twitter.com/repevanjenkins,,repevanjenkins,202-225-3452,,,,,,,,4056,307000,
David,McKinley,WV,1,M,,38500,364.92891,Y,N,N,,26.4,68.0,-41.6,https://twitter.com/RepMcKinley,,RepMcKinley,202-225-4172,,,,,,,,,,
Alex,Mooney,WV,2,M,,40400,382.9383886,Y,N,Y,,29.4,65.8,-36.4,https://twitter.com/RepAlexMooney,,RepAlexMooney,202-225-2711,,,,,,,,,,
Liz,Cheney,WY,1,F,,50300,476.7772512,N,N,N,,22.5,70.1,-47.6,https://twitter.com/Liz_Cheney,,Liz_Cheney,202-225-2311,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WA,4,M,,,,Y,N,N,,35.1,57.9,-22.8,https://twitter.com/repnewhouse,,repnewhouse,202-225-5816,,,,,,,,,,
